".id","GALNT1","GALNT2","GALNT3","GALNT4","GALNT5","GALNT6","GALNT7","GALNT8","GALNT9","GALNT10","GALNT11","GALNT12","GALNT13","GALNT14","ST3GAL1","ST3GAL2","ST3GAL3","ST3GAL4","ST3GAL5","ST3GAL6","ST6GAL1","ST6GALNAC1","ST6GALNAC2","ST8SIA1","ST8SIA2","ST8SIA3","ST8SIA4","ST8SIA5","B4GALT1","B4GALT2","B4GALT3","B4GALT4","B4GALT5","B4GALT6","B4GALNT1","B3GALT4","B3GALT5","B3GALNT1","B3GNT2","B3GNT3","B3GNT4","B3GNT5","B3GNT6","B3GNT7","B3GNT8","B3GNT9","FUT1","FUT2","FUT3","FUT4","FUT5","FUT6","FUT7","FUT8","FUT9","FUT10","FUT11","MGAT3","MGAT4A","MGAT4B","MGAT5","MGAT5B","GCNT1","GCNT2","GCNT3","GCNT4","GCNT7","UGCG","A4GALT","C1GALT1","C1GALT1C1"
"KIPAN"," 26.7387"," 20.1377","  8.8998","  0.2945","  0.5411","  2.0329","  7.2814","  0.1790","  1.2467"," 17.5919","139.3644","  6.7213","  0.6767"," 54.0372"," 60.6212","  7.5139","  1.6039"," 15.4297","  2.5461"," 19.4012"," 38.9328","  0.1946","  4.7110","  0.7027","  0.2485","  0.0000","  2.8762","  0.7843"," 52.4531","  9.0820"," 16.6149"," 29.4682"," 64.9104","  5.0567","  0.0670","  6.9858","  0.5446"," 20.1911"," 61.6248","  7.0645","  3.0778","  4.2620","  0.1510","  2.1429","  2.8212"," 11.7889","  4.0781","  1.4073"," 27.8033","  5.3663","  0.0000","111.2492","  0.0000"," 11.9175","  0.0481"," 15.5978"," 13.3648","  8.8815"," 69.4877"," 47.8658"," 42.1624","  0.3490","  2.9861"," 21.2363","  2.1634"," 10.3330","  4.9949"," 65.6953"," 25.4268"," 27.2574"," 36.2596"
"GLIOMA","142.5172","105.5206","  0.8303","  0.3459"," 16.7016","  1.4406"," 17.6632","  1.9491","  0.1292"," 51.6772"," 61.3478","  3.0488","  1.1220","  0.3898","  9.2209","  9.6357","  1.6762","  9.9129"," 14.1500"," 14.2331","  9.9931","  0.3989","  0.3385"," 10.1082","  0.2171","  0.0410"," 11.2396","  6.8718"," 12.9705"," 31.5041"," 12.5592"," 16.5150"," 69.7345"," 13.1491","  1.2130","  5.7641","  0.5026"," 17.1704"," 21.4714","  0.0306","  1.0789"," 19.5916","  0.1612","  3.7228","  0.7229"," 10.1217","  0.2729","  1.1269","  0.0817","  5.5339","  0.0850","  0.0000","  0.2547"," 21.7747","  3.2934","  9.9445"," 29.7424","  4.1246"," 23.5666"," 28.7990"," 36.3801","  0.3288","  5.1346","  1.6696","  0.2353","  1.9427","  5.5381"," 83.0397","  1.3112"," 24.6726"," 28.1457"
"LUNG"," 44.9264"," 30.3756"," 23.0987","  0.1321"," 25.2155","  6.0173","  8.1967","  0.2752","  0.0564"," 28.9997"," 22.6729"," 15.0230","  4.1778","  1.3101"," 64.9479","  7.6131","  1.0974"," 12.6142"," 15.6248","  7.3863"," 26.0413","  5.5962","  7.3802","  1.3824","  0.0347","  0.0000"," 16.5350","  0.0389","119.6266"," 11.3479"," 24.9763","  8.7842","131.9550","  0.9768","  0.7473"," 11.7744","  0.0639","  7.2035"," 45.2161","  0.2569","  0.6475"," 29.6196","  0.7353"," 48.4270"," 12.9613"," 11.5095"," 14.2511","  1.8637","  3.1708","  4.0424","  0.0000","  0.2461","  0.4280"," 15.7340","  0.0074","  6.3113"," 18.3862"," 19.0479"," 32.2207"," 31.2379"," 32.5006","  0.2841","  3.8560"," 19.5001","  2.0244","  7.6170","  5.1209","101.1178"," 15.2838"," 11.3227"," 31.7593"
"BRCA"," 70.1073"," 29.4501"," 80.2584","  0.0277","  0.5420"," 17.5749","102.0877","  1.6806","  0.1859"," 18.1765"," 29.8293","  7.8558","  0.2018","  1.5428","  2.3050","  3.9430","  0.9802","  8.9179"," 13.5134"," 24.2534"," 32.6814","  4.3416","  4.6138","  3.4037","  0.8910","  0.0000","  9.6084","  0.2376"," 65.3093","  9.1993"," 48.4695","  6.5429"," 32.7698","  3.5647","  0.4531","  7.5567","  0.2392","  5.7164"," 55.0611","  3.2809","  0.9488","  3.5743","  0.0000","  1.7189","  7.7883","  0.8268","  0.7887","  6.2550"," 35.4483","  1.2782","  0.0000","  4.6233","  3.5844"," 49.8713","  0.1302"," 13.1607"," 16.5411","  3.1129"," 20.6488"," 41.6030"," 30.4318","  0.7634"," 10.5609"," 30.6575","  0.2300","  4.3788"," 56.2098"," 94.9283","  5.8100"," 15.5004"," 17.7926"
"KIPAN"," 45.7100"," 65.7329","  3.5251","  0.3636","  3.4937","  5.5046","  9.8562","  0.1729","  0.1772"," 12.1109"," 65.0888","  5.8357","  1.3462","130.0837"," 20.8044","  9.8291","  1.5717","  5.4552","  2.2983"," 22.7071"," 26.3937","  0.2256","  0.1985","  1.2874","  0.0291","  0.0165"," 17.5689","  0.1847"," 51.5961"," 13.8013"," 23.7477"," 21.8580"," 88.6574","  3.6746","  0.5397","  7.5241","  9.9477"," 10.1307"," 43.8066","  8.0867","  5.0688","  9.6616","  0.0000","  3.2756","  3.0894"," 13.6125","  0.9802","  0.8562","  0.7394","  6.3094","  0.0427","  4.0303","  0.4098"," 23.6165","  0.0496","  7.8592"," 42.0089","  3.4710"," 37.2428"," 42.0826"," 26.6741","  0.1587","  7.2708","  9.3812","  5.8637","  0.7958","  5.6101"," 66.1631"," 32.4034"," 28.9062"," 42.6178"
"COADREAD","35.2496","14.1170","34.1577"," 0.2199","13.6459","10.3855","20.1446"," 0.3055"," 0.3403","14.0316"," 7.6039","15.6841"," 0.6496"," 0.4479"," 3.2014"," 3.4809"," 0.0565"," 3.6465"," 1.0691"," 1.6547","34.0511","33.1046"," 0.6199"," 0.5140"," 0.0868"," 0.0164"," 3.2161"," 0.0162","31.1692","12.4291","21.6374","10.6043","28.9499"," 2.5668"," 0.4075"," 7.5471"," 0.3958"," 1.7317","24.5877","58.2279"," 0.0929"," 6.8507"," 4.2522"," 2.9290","11.6010"," 4.2578"," 1.3050","15.7876","91.1225","11.1831"," 0.0000"," 7.8968"," 1.0689"," 5.4083"," 0.0000"," 2.9203"," 4.9295"," 1.0083","15.7667","75.1864","32.5051"," 0.0394"," 6.4009"," 0.7057"," 7.6938"," 1.2939"," 0.4098","22.1900"," 3.0230","18.6967","50.8584"
"KIPAN"," 34.2265"," 20.7701","  6.0141","  0.4748","  1.2247","  2.4770","  5.1924","  0.2376","  8.8043"," 13.5701"," 87.8499","  5.3919","  0.7474","252.9737"," 29.1902"," 11.3670","  1.3959","  4.8436","  3.1372","  5.9319"," 18.6012","  0.0664","  1.0271","  2.0925","  0.0000","  0.0000","100.3648","  0.0720"," 26.8335","  9.1253"," 23.0824"," 10.2988"," 92.9108","  2.0976","  0.4862"," 14.0863","  0.0368"," 11.6227"," 47.1883"," 12.8730","  1.2886","  5.9606","  0.0286","  1.4466","  2.2472"," 25.9114","  3.6536","  1.7349","  1.1852","  6.0568","  0.0000"," 23.9744","  0.7240","  9.4110","  0.0219"," 10.4972"," 66.2230","  6.5472"," 42.8841"," 42.7943"," 32.5515","  0.6658","  4.8286"," 14.3559","  6.1197"," 11.1064","  6.0846"," 60.6452"," 43.6025"," 17.8014"," 38.2662"
"UTERINE","44.1925","20.3348","32.9558"," 1.2077"," 2.2586"," 3.3414","31.8661"," 0.2274"," 0.1906","21.3207","30.7807","12.6726"," 2.6897"," 1.3706","15.6671","11.0448"," 2.9297"," 6.4837","27.4074"," 5.8125","19.7311","43.9126"," 2.3495"," 4.5791"," 0.0157"," 0.0000"," 4.1509"," 0.0643","87.6538","15.9700","16.2952","13.9473","38.2158"," 4.5231"," 0.2671"," 9.5668"," 1.4969","16.2436","42.9332"," 0.9263"," 1.2074"," 4.2729"," 0.0349"," 2.7689"," 3.9104","21.4596"," 3.1005","11.5145"," 0.3241"," 9.6152"," 0.0000"," 5.8285"," 0.0551","32.3809"," 3.9899","22.0325","18.1715","10.8865","24.4024","19.4372","33.3591"," 0.6545","26.7646","12.9612"," 1.1882"," 5.7757"," 7.6778","53.1116","30.7703"," 9.1095","59.4802"
"BRCA","159.2075"," 33.0437"," 13.9428","  0.0767","  9.2016"," 77.6486"," 25.5913","  0.1242","  0.0191"," 70.0841"," 20.1218","  2.6946","  1.4297","  2.5024"," 12.8241","  8.3166","  0.4245"," 13.0398","  4.2208","  6.5867"," 19.4011","  0.2431"," 10.9547","  0.9311","  0.5175","  0.0000","  5.9887","  0.0263"," 98.6461"," 30.1751"," 47.6113"," 14.2955"," 26.6922","  2.1005","  1.6397"," 13.2653","  2.7483"," 14.7000"," 57.8502","  0.7454","  0.1814","  2.6588","  0.0000","  2.9494","  4.1852"," 19.0459","  1.6158"," 12.9418","  0.1770","  4.1105","  0.0000","  0.0303","  0.7451"," 45.9386","  2.1949","  4.3113"," 14.8076","  1.3786"," 16.8214"," 37.1354"," 19.1367","  1.5175","  7.3775","  4.8152","  0.0850","  1.4265","  1.3333"," 73.7555"," 11.5963"," 10.3557"," 46.5765"
"LUNG"," 93.0584"," 28.2119"," 35.8843","  0.1462"," 44.2458"," 14.0353"," 16.8833","  0.4264","  0.0218"," 28.1985"," 34.3242"," 21.5809","  4.8597","  0.5074"," 76.4570","  9.7415","  1.7485","  8.5555"," 19.8576"," 15.3976"," 23.9496"," 11.8213","  6.9748","  4.4241","  0.0269","  0.0610"," 22.0267","  0.0201","137.5917","  6.6747"," 20.6401"," 11.9177","159.3318","  4.1835","  0.3992"," 13.9125","  0.2529"," 11.3401","102.2561","  1.0802","  1.0030"," 61.6356","  0.4197"," 44.7332"," 12.4332"," 10.6042","  8.3736","  1.2107","  4.6586","  6.5737","  0.0000","  0.4159","  0.5683"," 32.6553","  0.0688"," 12.0806"," 28.8012"," 22.0007"," 59.9109"," 25.8422"," 58.9492","  0.0734"," 13.7163"," 24.0838","  0.5591"," 11.1304","  8.9242","156.5696","  7.0324"," 42.2491"," 50.5905"
