X.Sample.Identifier,ANLN,FOXC1,CDH3,UBE2T,NDC80,PGR,BIRC5,ORC6,ESR1,PHGDH,CDC6,MMP11,MYBL2,SFRP1,CCNE1,BLVRA,BAG1,MLPH,CDC20,CENPF,KRT17,FOXA1,ACTR3B,CCNB1,MDM2,MYC,CEP55,SLC39A6,ERBB2,GRB7,KIF2C,NUF2,EGFR,MKI67,TMEM45B,FGFR4,PTTG1,MELK,NAT1,CXXC5,BCL2,RRM2,GPR160,EXO1,UBE2C,TYMS,KRT5,KRT14,MAPT,MIA
MBC.MBCProject_GvHkH2Hk.Tumor.SM.AZ5HV,9.31,1.73,17.17,5,1.96,64.47,1.44,3.71,178.64,8.33,2.59,55.96,5.35,3.88,0.62,35.6,32.9,362.71,6.5,14.21,53.99,126.39,6.52,5.81,84.47,19.24,1.05,43.78,69.49,9.53,4.66,2.33,12.72,15.19,1.72,1.09,9.96,3.07,36.47,17.04,16.85,15.15,4.81,1.47,5.8,5.95,20.27,28.16,76.74,6.59
MBC.MBCProject_N4srsKsr.Tumor.SM.CGMGK,17.61,2.96,16.63,4.26,1.37,1.72,0.44,3.76,45,15.48,2.86,21.65,3.95,5.92,1.27,43.87,42.58,1601.3,2.78,18.66,65.03,186.25,21.72,10.93,245,6.86,1.74,26.96,156.5,18.64,1.58,7.35,50.05,8.52,4.6,7.09,6.04,6.8,12.66,11.26,6.03,15.85,50.67,3.16,4.51,6.42,143.63,93.74,32.38,6.68
MBC.MBCProject_N4srsKsr.Tumor.SM.CGLTK,21.17,1.04,4.65,8.52,4.9,0.17,4.46,5.79,2.61,18.29,6.36,4.7,9.74,3.79,1.59,39.84,26.58,1465.9,6.75,16.18,0.22,133.88,7.5,17.57,231.52,7.99,2.67,25.03,92,14.02,2.62,4.82,30.53,8.14,25.31,2.83,18.72,6.33,15.33,5.96,6.67,18.6,26.99,4.14,12.87,7.6,1.27,0,15.3,0.34
MBC.MBCProject_4MF1FlFQ.Tumor.SM.CGM4M,39.21,0.65,4.9,30.12,24.39,95.8,14.38,13.84,100.43,27.57,12.91,56.41,14.24,0.14,3.74,14.81,58.72,246.6,27.67,96.19,18.69,108.54,6.2,40.75,112.09,29.28,9.19,147.51,22.37,11.78,20.92,22.13,2.2,69.44,0.12,0.9,62.68,18.32,109.82,32.71,25.72,61.93,5.86,13.86,47.78,42.08,14.17,9.07,131.17,2.2
MBC.MBCProject_4MF1FlFQ.Tumor.SM.AZ5CU,12.43,4.46,17.56,16.65,11.38,7.27,5.9,4.79,116.12,43.25,3.85,15.7,8.14,2.82,3.06,24.24,46.21,202.42,13.98,43,133.7,110.83,6.18,22.85,114.99,126.87,4.66,61.1,37.9,8.65,10.47,6.15,20.06,27.09,0.7,10.57,42.95,9.54,40.33,6.2,12.41,32.74,9.42,4.45,15.19,24.17,184.96,114.9,43.33,3.6
MBC.MBCProject_wAiri7fp.Tumor.SM.AZ5DH,4.57,4.14,73.82,2.3,1.58,33.87,0.9,1.64,147.36,15.75,2.62,50.37,2.86,7.68,0.89,44.3,43.02,354.27,2.6,5.94,145.13,113.87,8.25,3.72,117.07,17.38,0.68,158.25,91.49,19.32,1.25,1.05,21.23,5.56,1.92,1.92,5.94,3.62,2.69,13.9,15.15,4.07,3.11,1.23,2.32,6.61,167.77,127.32,98.64,15.43
MBC.MBCProject_K7f6fdUz.Tumor.SM.AZ5MA,44.12,0.36,29.65,22.05,13.16,11.76,7.56,7.27,8.32,47.51,21.58,25.29,88.04,0.73,10.48,23.48,25.42,425.52,10.25,43.49,0.46,77.93,10.66,27.32,203.01,24.66,8.43,41.25,1129.3,108.51,13.32,11.56,12.11,42.86,4.92,108.79,27.01,26.42,18.97,11.14,3.7,93.85,10.72,18.26,30.34,33.28,0.21,0,44.7,0.38
MBC.MBCProject_3vhkhAcY.Tumor.SM.GQAW5,21.35,3.56,6.76,3.36,0.41,6.88,2.37,0.88,66.05,13.47,2.08,185.58,4.47,2.34,2.12,18.32,16.16,133.47,0.52,4.36,120.39,43.62,3.72,11.35,92.28,10.33,1.59,31.17,41.29,7.69,6.75,2.15,10.05,13.43,2.34,2.65,11.23,3.47,18.66,10.15,9.37,6.42,1.49,3.22,41.49,2.44,43.4,37.66,39.48,1.68
MBC.MBCProject_xBfJfri9.Tumor.SM.CGLAP,2.34,0.69,39.25,4.87,1.02,66.09,0.41,1.28,97.52,4.3,2.61,172.63,1.71,0.19,1.04,31.15,15.81,596.06,1.8,8.64,2.62,111.32,14.69,6.76,105.63,5.97,0.8,62.46,87.86,8.29,1.14,2,7.11,2.93,2.14,1.04,2.46,1.76,26.23,11.49,8.32,7.22,9.74,1.44,2.87,3.01,3.21,1.17,34.48,0.42
MBC.MBCProject_xBfJfri9.Tumor.SM.CGL4F,2.96,3.95,42,4.28,1.84,15.59,1.73,1.66,68.08,21.47,1.03,12.43,1.47,4.4,0.85,40.6,22.53,497.59,2.44,11.77,30.81,92.74,11.98,3.83,155.83,20.86,1.15,53.8,85.6,6.11,1.53,1.41,21.83,3.05,5.09,0.59,7.95,2.22,7.77,5.5,14.99,8.43,10.61,1.28,3.82,7.33,45.57,30.12,19.1,2.49
